"quote","author","source"
"An individual has not begun to live until he can rise above the narrow horizons of his particular individualistic concerns to the broader concerns of all humanity.","Martin Luther King Jr.","https://kinginstitute.stanford.edu/king-papers/documents/conquering-self-centeredness-sermon-delivered-dexter-avenue-baptist-church"
"O, see how the masses of men worry themselves into nameless graves, while here and there, some great unselfish soul forgets himself into immortality.","Martin Luther King Jr.","https://kinginstitute.stanford.edu/king-papers/documents/conquering-self-centeredness-sermon-delivered-dexter-avenue-baptist-church"
"All reality hinges on moral foundations. There are moral laws of the universe just as abiding as the physical laws.","Martin Luther King Jr.","https://kinginstitute.stanford.edu/king-papers/documents/rediscovering-lost-values-0"
"The great problem facing modern man is that the means by which we live have outdistanced the spiritual ends for which we live.","Martin Luther King Jr.","https://kinginstitute.stanford.edu/king-papers/documents/rediscovering-lost-values-0"
"Religion operates not only on the vertical plane but also on the horizontal. It seeks not only to integrate men with God but to integrate men with men.","Martin Luther King Jr.","https://en.wikiquote.org/wiki/Martin_Luther_King_Jr."
"Returning hate for hate multiplies hate, adding deeper darkness to a night already devoid of stars.","Martin Luther King Jr.","https://africacheck.org/fact-checks/meta-programme-fact-checks/darkness-cannot-drive-out-darkness-quote-martin-luther-king"
"For the great enemy of the truth is very often not the lie — deliberate, contrived, and dishonest — but the myth — persistent, persuasive, and unrealistic.","John F. Kennedy","https://www.presidency.ucsb.edu/documents/commencement-address-yale-university"
"We enjoy the comfort of opinion without the discomfort of thought.","John F. Kennedy","https://www.presidency.ucsb.edu/documents/commencement-address-yale-university"
"When power leads man toward arrogance, poetry reminds him of his limitations. When power narrows the areas of man's concern, poetry reminds him of the richness and diversity of his existence. When power corrupts, poetry cleanses.","John F. Kennedy","https://www.arts.gov/about/kennedy-transcript"
"The artist, however faithful to his personal vision of reality, becomes the last champion of the individual mind and sensibility against an intrusive society and an officious state.","John F. Kennedy","https://www.arts.gov/about/kennedy-transcript"
"For peace is a process — a way of solving problems.","John F. Kennedy","https://www.presidency.ucsb.edu/documents/commencement-address-american-university-washington"
"The courage of life is often a less dramatic spectacle than the courage of a final moment; but it is no less a magnificent mixture of triumph and tragedy.","John F. Kennedy","https://en.wikiquote.org/wiki/John_F._Kennedy"
"Possession make you rich? I don't have that type of richness. My richness is life, forever.","Bob Marley","https://x.com/bobmarley/status/1458512404443119620"
"I don't have an army behind me. If I did, I wouldn't care, I'd just get more militant. I talk from strength.","Bob Marley","https://www.mojo4music.com/articles/stories/bob-marley-the-last-crusade/"
"I would give up everything to have good health.","Kurt Cobain","https://www.rollingstone.com/music/music-news/kurt-cobain-the-rolling-stone-interview-success-doesnt-suck-97194/"
"I never wanted to sing. I just wanted to play rhythm guitar — hide in the back and just play.","Kurt Cobain","https://www.rollingstone.com/music/music-news/kurt-cobain-the-rolling-stone-interview-success-doesnt-suck-97194/"
"If a person is having some kind of turmoil in their lives, it's usually reflected in the music, and sometimes it's pretty beneficial.","Kurt Cobain","https://www.rollingstone.com/music/music-news/kurt-cobain-the-rolling-stone-interview-success-doesnt-suck-97194/"
"I'm a much happier guy than a lot of people think I am.","Kurt Cobain","https://www.rollingstone.com/music/music-news/kurt-cobain-the-rolling-stone-interview-success-doesnt-suck-97194/"
"As a solo artist there needs to be a lot of fiction involved to some degree. It's harder to step outside of yourself and look back and say 'What is this guy singing about?'","Chris Cornell","https://www.songwritingmagazine.co.uk/interviews/interview-chris-cornell"
"The way that I got perspective was a process of elimination, as opposed to when you're working in a band and you're just bouncing off of each other.","Chris Cornell","https://www.songwritingmagazine.co.uk/interviews/interview-chris-cornell"
"Records shouldn't be difficult to make — one shouldn't be afraid of the outcome.","Chris Cornell","https://www.songwriteruniverse.com/chriscornell123/"
"It would be difficult to devote so much time and effort if things stayed the same; that would be like coal mining.","Chris Cornell","https://www.songwritingmagazine.co.uk/interviews/interview-chris-cornell"
"I could do whatever I would like to do. I just had to get something going, which would constantly change, so that I didn't end up institutionalized.","Robert Plant","https://www.rollingstone.com/music/music-features/robert-plant-interview-digging-deep-led-zeppelin-john-bonham-1068391/"
"When I listen to it, I wonder whether the guy who was singing and writing the lyrics ever had a rest.","Robert Plant","https://www.rollingstone.com/music/music-features/robert-plant-interview-digging-deep-led-zeppelin-john-bonham-1068391/"
"You don't have any perspective at the time, you just joyously careen through another bunch of ideas.","Robert Plant","https://www.rollingstone.com/music/music-features/robert-plant-interview-digging-deep-led-zeppelin-john-bonham-1068391/"
"Entertainment is fine so long as the person that you're entertaining most of all is yourself.","Robert Plant","https://www.rollingstone.com/music/music-features/robert-plant-alison-krauss-led-zeppelin-1396022/"
